timestamp,source,book,sport,game_date,away_team,home_team,spread_line,spread_away_bets_pct,spread_home_bets_pct,spread_away_handle_pct,spread_home_handle_pct,total_line,total_over_bets_pct,total_under_bets_pct,total_over_handle_pct,total_under_handle_pct,ml_away_bets_pct,ml_home_bets_pct,ml_away_handle_pct,ml_home_handle_pct,spread_bets_handle_divergence,total_bets_handle_divergence,sharp_signal_spread,sharp_signal_total
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,Manhattan,Niagara,1.0,88.0,13.0,71.0,29.0,136.0,40.0,60.0,33.0,67.0,67.0,33.0,95.0,5.0,16.0,7.0,True,False
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,Columbia,Pennsylvania,2.5,70.0,30.0,95.0,5.0,148.0,,100.0,,100.0,100.0,,100.0,,25.0,,True,
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,Cornell,Princeton,-3.0,22.0,78.0,5.0,95.0,154.0,63.0,38.0,87.0,13.0,40.0,60.0,84.0,16.0,17.0,24.0,True,True
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,Quinnipiac,Siena,3.5,86.0,14.0,100.0,,144.5,57.0,43.0,70.0,30.0,,100.0,,100.0,,13.0,,False
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,Yale,Dartmouth,-10.0,33.0,67.0,94.0,6.0,151.5,,100.0,,100.0,100.0,,100.0,,61.0,,True,
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,ST Peters,Sacred Heart,-1.5,56.0,44.0,4.0,96.0,148.0,50.0,50.0,78.0,22.0,100.0,,100.0,,52.0,28.0,True,True
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,George Mason,George Washington,3.0,77.0,23.0,18.0,82.0,150.0,,100.0,,100.0,33.0,67.0,,100.0,59.0,,True,
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,MT ST Marys,Rider,-5.0,89.0,11.0,55.0,45.0,138.0,25.0,75.0,80.0,20.0,67.0,33.0,57.0,43.0,34.0,55.0,True,True
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,Iona,Canisius,-5.0,38.0,63.0,36.0,64.0,136.5,,100.0,,100.0,25.0,75.0,3.0,97.0,1.0,,False,
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,Brown,Harvard,7.5,73.0,27.0,100.0,,131.0,25.0,75.0,33.0,67.0,,100.0,,100.0,,8.0,,False
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,Michigan ST,Wisconsin,-2.0,50.0,50.0,3.0,97.0,148.5,85.0,15.0,81.0,19.0,50.0,50.0,92.0,8.0,47.0,4.0,True,False
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,Saint Louis,Loyola-Chicago,-18.5,38.0,63.0,12.0,88.0,155.0,14.0,86.0,,100.0,100.0,,100.0,,25.0,,True,
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,Ohio,Miami OH,9.5,35.0,65.0,52.0,48.0,165.0,90.0,10.0,100.0,,25.0,75.0,,100.0,17.0,10.0,True,False
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,Massachusetts,Akron,13.0,88.0,13.0,91.0,9.0,163.0,67.0,33.0,31.0,69.0,50.0,50.0,50.0,50.0,4.0,36.0,False,True
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,UNLV,Boise ST,10.5,72.0,28.0,18.0,82.0,153.5,56.0,44.0,28.0,72.0,33.0,67.0,,100.0,54.0,28.0,True,True
2026-02-13T16:28:13.970237,vsin_circa,circa,wcbb,Feb 13,N Carolina A&T,Hampton,2.5,30.0,70.0,34.0,66.0,138.0,25.0,75.0,29.0,71.0,50.0,50.0,50.0,50.0,4.0,4.0,False,False
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,Manhattan,Niagara,-2.0,78.0,22.0,58.0,42.0,137.0,45.0,55.0,76.0,24.0,50.0,50.0,72.0,28.0,20.0,31.0,True,True
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,Columbia,Pennsylvania,2.0,57.0,43.0,93.0,7.0,149.0,,100.0,,100.0,25.0,75.0,70.0,30.0,36.0,,True,
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,Cornell,Princeton,-3.0,47.0,53.0,75.0,25.0,155.0,64.0,36.0,59.0,41.0,29.0,71.0,67.0,33.0,28.0,5.0,True,False
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,Quinnipiac,Siena,3.5,83.0,17.0,100.0,,144.5,63.0,38.0,71.0,29.0,,100.0,,100.0,,8.0,,False
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,Yale,Dartmouth,-10.0,40.0,60.0,92.0,8.0,151.5,,100.0,,100.0,100.0,,100.0,,52.0,,True,
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,ST Peters,Sacred Heart,-1.5,54.0,46.0,15.0,85.0,147.5,43.0,57.0,68.0,32.0,25.0,75.0,85.0,15.0,39.0,25.0,True,True
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,George Mason,George Washington,3.5,72.0,28.0,29.0,71.0,150.5,20.0,80.0,88.0,12.0,62.0,38.0,34.0,66.0,43.0,68.0,True,True
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,MT ST Marys,Rider,-5.0,72.0,28.0,63.0,37.0,138.0,40.0,60.0,80.0,20.0,50.0,50.0,50.0,50.0,9.0,40.0,False,True
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,Iona,Canisius,-4.0,50.0,50.0,40.0,60.0,138.0,33.0,67.0,78.0,22.0,33.0,67.0,46.0,54.0,10.0,45.0,False,True
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,Brown,Harvard,8.0,61.0,39.0,67.0,33.0,131.0,56.0,44.0,61.0,39.0,50.0,50.0,98.0,2.0,6.0,5.0,False,False
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,Michigan ST,Wisconsin,-2.0,54.0,46.0,12.0,88.0,149.0,81.0,19.0,68.0,32.0,49.0,51.0,55.0,45.0,42.0,13.0,True,False
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,Saint Louis,Loyola-Chicago,-17.5,56.0,44.0,52.0,48.0,155.0,27.0,73.0,18.0,82.0,100.0,,100.0,,4.0,9.0,False,False
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,Ohio,Miami OH,8.0,37.0,63.0,63.0,37.0,165.0,76.0,24.0,68.0,32.0,50.0,50.0,8.0,92.0,26.0,8.0,True,False
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,Massachusetts,Akron,12.5,57.0,43.0,50.0,50.0,163.0,64.0,36.0,30.0,70.0,50.0,50.0,50.0,50.0,7.0,34.0,False,True
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,UNLV,Boise ST,11.0,63.0,37.0,35.0,65.0,153.0,61.0,39.0,27.0,73.0,50.0,50.0,1.0,99.0,28.0,34.0,True,True
2026-02-13T23:34:16.079910,vsin_circa,circa,wcbb,Feb 13,N Carolina A&T,Hampton,3.5,32.0,68.0,15.0,85.0,137.5,40.0,60.0,39.0,61.0,67.0,33.0,45.0,55.0,17.0,1.0,True,False
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_manhattan_niagara,Feb 13,,Manhattan,Niagara,-2.0,78.0,22.0,58.0,42.0,137.0,45.0,55.0,76.0,24.0,50.0,50.0,72.0,28.0,20.0,31.0,True,True,1,,,,,,,,,,,,
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_columbia_pennsylvania,Feb 13,,Columbia,Pennsylvania,2.0,57.0,43.0,93.0,7.0,149.0,,100.0,,100.0,25.0,75.0,70.0,30.0,36.0,,True,,1,,,,,,,,,,,,
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_cornell_princeton,Feb 13,,Cornell,Princeton,-3.0,47.0,53.0,75.0,25.0,155.0,64.0,36.0,59.0,41.0,29.0,71.0,67.0,33.0,28.0,5.0,True,False,1,,,,,,,,,,,,
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_quinnipiac_siena,Feb 13,,Quinnipiac,Siena,3.5,83.0,17.0,100.0,,144.5,63.0,38.0,71.0,29.0,,100.0,,100.0,,8.0,,False,1,,,,,,,,,,,,
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_yale_dartmouth,Feb 13,,Yale,Dartmouth,-10.0,40.0,60.0,92.0,8.0,151.5,,100.0,,100.0,100.0,,100.0,,52.0,,True,,1,,,,,,,,,,,,
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_st_peters_sacred_heart,Feb 13,,ST Peters,Sacred Heart,-1.5,54.0,46.0,15.0,85.0,147.5,43.0,57.0,68.0,32.0,25.0,75.0,85.0,15.0,39.0,25.0,True,True,1,,,,,,,,,,,,
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_george_mason_george_washington,Feb 13,,George Mason,George Washington,3.5,72.0,28.0,29.0,71.0,150.5,20.0,80.0,88.0,12.0,62.0,38.0,34.0,66.0,43.0,68.0,True,True,1,,,,,,,,,,,,
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_mt_st_marys_rider,Feb 13,,MT ST Marys,Rider,-5.0,72.0,28.0,63.0,37.0,138.0,40.0,60.0,80.0,20.0,50.0,50.0,50.0,50.0,9.0,40.0,False,True,1,,,,,,,,,,,,
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_iona_canisius,Feb 13,,Iona,Canisius,-4.0,50.0,50.0,40.0,60.0,138.0,33.0,67.0,78.0,22.0,33.0,67.0,46.0,54.0,10.0,45.0,False,True,1,,,,,,,,,,,,
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_brown_harvard,Feb 13,,Brown,Harvard,8.0,61.0,39.0,67.0,33.0,131.0,56.0,44.0,61.0,39.0,50.0,50.0,98.0,2.0,6.0,5.0,False,False,1,,,,,,,,,,,,
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_michigan_st_wisconsin,Feb 13,,Michigan ST,Wisconsin,-2.0,54.0,46.0,12.0,88.0,149.0,81.0,19.0,68.0,32.0,49.0,51.0,55.0,45.0,42.0,13.0,True,False,1,,,,,,,,,,,,
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_saint_louis_loyolachicago,Feb 13,,Saint Louis,Loyola-Chicago,-17.5,56.0,44.0,52.0,48.0,155.0,27.0,73.0,18.0,82.0,100.0,,100.0,,4.0,9.0,False,False,1,,,,,,,,,,,,
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_ohio_miami_oh,Feb 13,,Ohio,Miami OH,8.0,37.0,63.0,63.0,37.0,165.0,76.0,24.0,68.0,32.0,50.0,50.0,8.0,92.0,26.0,8.0,True,False,1,,,,,,,,,,,,
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_massachusetts_akron,Feb 13,,Massachusetts,Akron,12.5,57.0,43.0,50.0,50.0,163.0,64.0,36.0,30.0,70.0,50.0,50.0,50.0,50.0,7.0,34.0,False,True,1,,,,,,,,,,,,
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_unlv_boise_st,Feb 13,,UNLV,Boise ST,11.0,63.0,37.0,35.0,65.0,153.0,61.0,39.0,27.0,73.0,50.0,50.0,1.0,99.0,28.0,34.0,True,True,1,,,,,,,,,,,,
2026-02-13T23:45:13.995410,vsin_circa,circa,wcbb,wcbb_20260213_n_carolina_at_hampton,Feb 13,,N Carolina A&T,Hampton,3.5,32.0,68.0,15.0,85.0,137.5,40.0,60.0,39.0,61.0,67.0,33.0,45.0,55.0,17.0,1.0,True,False,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_tcu_oklahoma_st,Feb 14,,TCU,Oklahoma ST,1.5,33.0,67.0,94.0,6.0,156.0,75.0,25.0,99.0,1.0,50.0,50.0,50.0,50.0,61.0,24.0,True,True,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_clemson_duke,Feb 14,,Clemson,Duke,13.0,56.0,44.0,42.0,58.0,133.5,100.0,,100.0,,50.0,50.0,50.0,50.0,14.0,0.0,False,False,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_california_boston_college,Feb 14,,California,Boston College,-2.5,50.0,50.0,8.0,92.0,140.5,100.0,,100.0,,50.0,50.0,50.0,50.0,42.0,0.0,True,False,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_georgia_tech_notre_dame,Feb 14,,Georgia Tech,Notre Dame,7.0,50.0,50.0,100.0,,151.5,,100.0,,100.0,50.0,50.0,50.0,50.0,,,,,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_fordham_rhode_island,Feb 14,,Fordham,Rhode Island,6.0,100.0,,100.0,,134.0,100.0,,100.0,,50.0,50.0,50.0,50.0,,0.0,,False,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_samford_e_tennessee_st,Feb 14,,Samford,E Tennessee ST,6.5,50.0,50.0,13.0,87.0,147.0,,100.0,,100.0,50.0,50.0,50.0,50.0,37.0,,True,,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_ucla_michigan,Feb 14,,UCLA,Michigan,15.5,33.0,67.0,33.0,67.0,151.5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,False,False,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_northwestern_nebraska,Feb 14,,Northwestern,Nebraska,12.5,33.0,67.0,63.0,37.0,144.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,30.0,0.0,True,False,1,,,,,,,,,,,,
2026-02-14T08:21:04.540294,vsin_circa,circa,wcbb,wcbb_20260214_kansas_iowa_st,Feb 14,,Kansas,Iowa ST,6.5,50.0,50.0,65.0,35.0,147.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,15.0,0.0,True,False,1,,,,,,,,,,,,
